-BUTYL-BUTYRYL-LACTATE,Non disponible,Non disponible,No table found
ARTEMETHER,Antimalarial,not available,Merck 11th Edition
ARTEMETIN,Antiedemic,ED50=67,"Duke, 1992 *"
ARTEMETIN,Antiinflammatory,30-150 mg/kg,"Duke, 1992 *"
ARTEMETIN,Antimalarial,(Synergic w artemisinin) IC50=26 uM,"Duke, 1992 *"
ARTEMETIN,Parasiticide,IC50=26 uM,"Duke, 1992 *"
ARTEMETIN,Pesticide,not available,"Duke, 1992 *"
ARTEMETIN,Plasmodicide,IC50=26 uM,"Duke, 1992 *"
ARTEMETIN,Protisticide,IC50=26 uM,"Duke, 1992 *"
ARTEMISETIN,Antitumor,not available,"Duke, 1992 *"
ARTEMISIC-ACID,Antibacterial,not available,"Duke, 1992 *"
ARTEMISIC-ACID,Pesticide,not available,"Duke, 1992 *"
ARTEMISIIFOLIN,Antitumor,not available,CRC Handbook of Medicinal Herbs and/or CRC Handbook of Proximate Analyses
ARTEMISINE,Anticlonorchic,not available,"Duke, 1992 *"
ARTEMISINE,Antimalarial,not available,"Duke, 1992 *"
ARTEMISINE,Pesticide,not available,"Duke, 1992 *"
ARTEMISINEN,Herbicide,IC50=33 uM,"Keeler, R.F. and Tu, A.T. eds. 1991. Toxicology of Plant and Fungal Compounds. (Handbook of Natural Toxins Vol. 6) Marcel Dekker, Inc. NY. 665 pp."
ARTEMISINEN,Pesticide,not available,"Duke, 1992 *"
ARTEMISININ,Antimalarial,"ED95=1,000 mg/man/day","Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
ARTEMISININ,Antimalarial,"IC50=1.4 nM or 0.0014 uM (ED95=1,000 mg/man/day)","Duke, 1992 *"
ARTEMISININ,Antimalarial,ED50=90 mg/kg orl mus,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
ARTEMISININ,Antitumor,not available,"Duke, 1992 *"
ARTEMISININ,Antiviral,not available,"Abid Ali Khan, M.M., Jain, D.C., Bhakuni, R.S., Zaim, M., and Thakur, R.S. 1991. Occurrence of some antiviral sterols in Artemisia annua. Plant Science, 75: 161-165, 1991."
ARTEMISININ,Calcium-Antagonist,IC50=190 uM gpg,"Duke, 1992 *"
ARTEMISININ,Cytotoxic,IC50=30 uM,"Duke, 1992 *"
ARTEMISININ,Herbicide,IC50=33 uM,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
ARTEMISININ,Immunomodulator,not available,"Duke, 1992 *"
ARTEMISININ,MDR-Inhibitor,IC50=2 uM,"Duke, 1992 *"
ARTEMISININ,Neurotoxic,not available,"Duke, 1992 *"
ARTEMISININ,Pesticide,not available,"Duke, 1992 *"
ARTEMISININ,Plasmodicide,IC50=1.4 nM,"Duke, 1992 *"
ARTEMISININ,Schizonticide,MIC=0.1 uM,"Duke, 1992 *"
ARTEMISININ,Teratogenic,not available,Martindale's 29th
ARTEMORIN,Allergenic,not available,"Tucker, A. O. and Debaggio, T. 2000. The Big Book of Herbs. Interweave Press, Inc. Loveland, CO. 688 pp."
ARTERENOL,ANS-Active,not available,"Duke, 1992 *"
ARTERENOL,Hypertensive,not available,"Duke, 1992 *"
ARTERENOL,Vasoconstrictor,not available,"Duke, 1992 *"
ARTESUNATE,Antimalarial,not available,"Duke, 1992 *"
ARTESUNATE,Pesticide,not available,"Duke, 1992 *"
ARTICULIN-2-ACETATE,Cytotoxic,not available,"Duke, 1992 *"
ARTOCARPANONE,Antiaggregant,IC50=41 uM,"Duke, 1992 *"
ARTOCARPETIN,Antiaggregant,IC50=96 uM,"Duke, 1992 *"
ARTOCARPIN,5-Alpha-Reductase-Inhibitor,IC50=85 uM,"Duke, 1992 *"
ARTOCARPIN,Proteolytic,not available,"Duke, 1992 *"
ARTOINDONESIANIN-L,Antileukemic,LC50=0.6 ug/ml,"Duke, 1992 *"
ARTOINDONESIANIN-L,Cytotoxic,LC50=0.6 ug/ml,"Duke, 1992 *"
ARTONIN-C,Diels-Alder-Adduct,not available,"Duke, 1992 *"
ARTONIN-D,Diels-Alder-Adduct,not available,"Duke, 1992 *"
ARTONIN-E,Antileukemic,LC50=0.06 ug/ml,"Duke, 1992 *"
ARTONIN-E,Cytotoxic,LC50=0.6 ug/ml,"Duke, 1992 *"
ARTONIN-M,Antileukemic,LC50=7.9 ug/ml,"Duke, 1992 *"
ARTONIN-M,Cytotoxic,LC50=7.9 ug/ml,"Duke, 1992 *"
ARTONIN-O,Antileukemic,LC50=0.9 ug/ml,"Duke, 1992 *"
ARTONIN-O,Cytotoxic,LC50=0.9 ug/ml,"Duke, 1992 *"
ARVENOSIDE-A,Antiinflammatory,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ARVENOSIDE-B,Antitrypanosomic,MIC=50 ug/ml,"Duke, 1992 *"
ARVENOSIDE-B,Pesticide,not available,"Duke, 1992 *"
ARVENOSIDE-D,Antitrypanosomic,MIC=100 ug/ml,"Duke, 1992 *"
ARVENOSIDE-D,Pesticide,not available,"Duke, 1992 *"
ARVENSAN,Fungicide,EC50=<50,"Duke, 1992 *"
ARVENSAN,Pesticide,not available,"Duke, 1992 *"
ARVENSAN,Phytoalexin,not available,"Duke, 1992 *"
ARYL-2-QUINOLINE,Antileishmanic,not available,"Duke, 1992 *"
AS,Non disponible,Non disponible,No table found
ASARININ,Antibacterial,not available,Merck 10th Edition.
ASARININ,Antileukemic,IC50=2.9 ug/ml,Life Sciences 55: 1061.
ASARININ,Antitubercular,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
ASARININ,Insecticide-Synergist,not available,"Duke, 1992 *"
ASARININ,Pesticide,not available,"Duke, 1992 *"
ASARININ,Piscicide,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
ASARONE,Anticonvulsant,not available,"Duke, 1992 *"
ASARONE,Antielleptic,not available,"Duke, 1992 *"
ASARONE,Antipyretic,not available,"Duke, 1992 *"
ASARONE,Antispasmodic,not available,"Duke, 1992 *"
ASARONE,Cardiodepressant,not available,"Duke, 1992 *"
ASARONE,CNS-Depressant,not available,"Duke, 1992 *"
ASARONE,Emetic,not available,"Duke, 1992 *"
ASARONE,Fungicide,not available,"Duke, 1992 *"
ASARONE,Hypothalmic-Depressant,not available,"Duke, 1992 *"
ASARONE,Mutagenic,not available,"Duke, 1992 *"
ASARONE,Myorelaxant,not available,"Duke, 1992 *"
ASARONE,Pesticide,not available,"Duke, 1992 *"
ASARONE,Psychoactive,not available,"Duke, 1992 *"
ASARONE,Sedative,not available,"Duke, 1992 *"
ASARONE,Tranquilizer,not available,"Duke, 1992 *"
ASCARIDOLE,Analgesic,not available,"Duke, 1992 *"
ASCARIDOLE,Ancylostomicide,not available,"Duke, 1992 *"
ASCARIDOLE,Anthelmintic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ASCARIDOLE,Antiflatulent,not available,"Duke, 1992 *"
ASCARIDOLE,Antimalarial,0.05-0.1 uM,"Duke, 1992 *"
ASCARIDOLE,Carcinogenic,not available,CRC Handbook of Medicinal Herbs and/or CRC Handbook of Proximate Analyses
ASCARIDOLE,Carminative,not available,"Duke, 1992 *"
ASCARIDOLE,Fungicide,not available,"Duke, 1992 *"
ASCARIDOLE,Nematicide,not available,Merck 11th Edition
ASCARIDOLE,Pesticide,not available,"Duke, 1992 *"
ASCARIDOLE,Plasmodicide,0.05-0.1 uM,"Duke, 1992 *"
ASCARIDOLE,Sedative,not available,"Duke, 1992 *"
ASCARIDOLE,Transdermal,not available,"Duke, 1992 *"
ASCARIDOLE,Trypanocide,23 uM,"Duke, 1992 *"
ASCARIDOLE,Vermifuge,not available,"Duke, 1992 *"
ASCIDIDEMIN,Topoisomerase-II-Inhibitor,30 uM,"Schmitz, F. J., et al. 1991. Cytotoxic Aromatic Alkaloids From  the Ascidian Amphicarpa meridiana and Leptoclinides sp.: Meridine and 11-hydroxyascididemin. J Org Chem, 56: 804-808."
ASCLEPIN,Cardiotonic,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
ASCLEPIN,Toxic,not available,"Duke, 1992 *"
ASCLEPINE,Cardiotonic,not available,"Duke, 1992 *"
ASCLEPINE,Emetic,not available,"Duke, 1992 *"
ASCLEPINE,Spasmogenic,not available,"=ICMR(Indian Council of Medical Research).1976.Medicinal Plants of India.Vol.1.Indian Council of Med. Res.Cambridge Printing Works, New Delhi.487 pp;ICMR.1987.Medicinal Plants of India.Vol.2.Indian Council of Med. Res.Cambr. Printing Works,New Delhi.600pp"
ASCLEPOSIDE,Cardioactive,not available,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
ASCORBYL-PALMITATE,Antioxidant,not available,"Duke, 1992 *"
ASIATIC-ACID,Collagenic,not available,"Duke, 1992 *"
ASIATICOSIDE,Amebicide,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
ASIATICOSIDE,Antibacterial,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
ASIATICOSIDE,Antiedemic,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
ASIATICOSIDE,Antifertility,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
ASIATICOSIDE,Antiinflammatory,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
ASIATICOSIDE,Antikeloid,not available,"Duke, 1992 *"
ASIATICOSIDE,Antilepric,not available,"Duke, 1992 *"
ASIATICOSIDE,Antituberculic,not available,"Duke, 1992 *"
ASIATICOSIDE,Antiulcer,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
ASIATICOSIDE,Carcinogenic,not available,"Duke, 1992 *"
ASIATICOSIDE,Cicatrizant,not available,"Duke, 1992 *"
ASIATICOSIDE,Dermagenic,not available,"Duke, 1992 *"
ASIATICOSIDE,Hypercholesterolemic,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
ASIATICOSIDE,Hyperglycemic,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
ASIATICOSIDE,Mucogenic,not available,"Duke, 1992 *"
ASIATICOSIDE,Pesticide,not available,"Duke, 1992 *"
ASIATICOSIDE,Pilogenic,not available,"Duke, 1992 *"
ASIATICOSIDE,Protisticide,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
ASIATICOSIDE,Vulnerary,25 mg ims,"Duke, 1992 *"
ASIMICIN,Antifeedant,EC86=0.1%,"Rupprect, J. K., Hui, Y. H., and McLaughlin, J. L., Annonaceous acetogenins: a review, J. Nat. Prod, 53(2), 1990, 237-238."
ASIMICIN,Antimalarial,IC50=4 ppm,"Rupprect, J. K., Hui, Y. H., and McLaughlin, J. L., Annonaceous acetogenins: a review, J. Nat. Prod, 53(2), 1990, 237-238."
ASIMICIN,Aphicide,LD100=500 ppm,"Rupprect, J. K., Hui, Y. H., and McLaughlin, J. L., Annonaceous acetogenins: a review, J. Nat. Prod, 53(2), 1990, 237-238."
ASIMICIN,Artemicide,LC50=0.03 ppm,"Rupprect, J. K., Hui, Y. H., and McLaughlin, J. L., Annonaceous acetogenins: a review, J. Nat. Prod, 53(2), 1990, 237-238."
ASIMICIN,Cytotoxic,9KB ED50=<0.00001 ppm,"Rupprect, J. K., Hui, Y. H., and McLaughlin, J. L., Annonaceous acetogenins: a review, J. Nat. Prod, 53(2), 1990, 237-238."
ASIMICIN,Immunosuppressant,EC95=0.1 ug/ml,"Rupprect, J. K., Hui, Y. H., and McLaughlin, J. L., Annonaceous acetogenins: a review, J. Nat. Prod, 53(2), 1990, 237-238."
ASIMICIN,Larvicide,LD100=1 ppm,"Duke, 1992 *"
ASIMICIN,Nematicide,1 ppm,"Alkofahi, A., Rupprect, J. K., Anderson, J. E., McLaughlin, J. L., Mikolajczak, K. L., and Scott, B. A., Search for new pesticides from higer plants, Chap. 3 in ???, Arnason et al, eds, ACS, Washington, 1989"
ASIMICIN,Pesticide,not available,"Duke, 1992 *"
ASPALATHIN,Antioxidant,>ferulic acid,"Duke, 1992 *"
ASPARAGINE,Antisickling,not available,"Ekeke, G.I. and Shode, F.O. 1988. Phenylalanine is the Predominant Antisickling Agent in Cajanus cajan Seed Extract. Planta Medica 56(1): 41, 1990."
ASPARAGINE,Diuretic,not available,HerbalGram No. 17.
ASPARAGUSIC-ACID,Allelopathic,not available,"Duke, 1992 *"
ASPARAGUSIC-ACID,Nematicide,50 ug/ml,"Duke, 1992 *"
ASPARAGUSIC-ACID,Nemativoistat,50 ug/ml,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
ASPARAGUSIC-ACID,Pesticide,not available,"Duke, 1992 *"
ASPARIN-1,Ribosome-Inactivator,IC50=1.2-40 ug/g,"Duke, 1992 *"
ASPARIN-2,Ribosome-Inactivator,IC50=1.2-40 ug/g,"Duke, 1992 *"
ASPARTIC-ACID,Antimorphinic,not available,Martindale's 28th
ASPARTIC-ACID,Neuroexcitant,not available,Martindale's 28th
ASPARTIC-ACID,Roborant,not available,Merck 11th Edition
ASPECIOSIDE,Cardiac,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ASPECIOSIDE,Toxic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ASPERGILLOMARASMINE-A,ACE-Inhibitor,IC50=1.2 uM/l pig,"Duke, 1992 *"
ASPERGILLOMARASMINE-B,ACE-Inhibitor,IC50=1 uM/l pig,"Duke, 1992 *"
ASPERILLIN,Cytotoxic,ED50=1 ppm,Biosyn. Prod. Cancer Chemotherapy (Petit et al)
ASPEROSIDE,ACE-Inhibitor,not available,"Duke, 1992 *"
ASPERULOSIDE,Anticlastogen,not available,"Duke, 1992 *"
ASPERULOSIDE,Antiinflammatory,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
ASPERULOSIDE,Antimutagenic,not available,"Duke, 1992 *"
ASPERULOSIDE,Antineoplastic,not available,"Medicinal and Poisonous Plants of the Tropics. Leeuwenberg, A.J.M., ed. Pudoc, Wageningen. 1987."
ASPERULOSIDE,Cathartic,ED50=240 mg/kg,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
ASPERULOSIDE,Herbicide,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ASPERULOSIDE,Hypotensive,not available,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
ASPERULOSIDE,Laxative,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
ASPERULOSIDE,Pesticide,not available,"Duke, 1992 *"
ASPERULOSIDIC-ACID,Anticlastogen,not available,"Duke, 1992 *"
ASPERULOSIDIC-ACID,Antimutagenic,not available,"Duke, 1992 *"
ASPHONIN,Hypothermic,not available,"Duke, 1992 *"
ASPIDIN,Anthelmintic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ASPIDIN,AntiEBV,not available,"Duke, 1992 *"
ASPIDIN,Antitumor-Promoter,not available,"Duke, 1992 *"
ASPIDIN,Chemopreventive,not available,"Duke, 1992 *"
ASPIDIN,Pesticide,not available,"Duke, 1992 *"
ASPIDIN,Taenicide,not available,Merck 11th Edition
ASPIDINOL,Anthelmintic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ASPIDINOL,Pesticide,not available,"Duke, 1992 *"
ASPIDINOL,Taenicide,not available,"Duke, 1992 *"
ASPIDISTRIN,Candidicide,MIC 50 ug/ml,"Duke, 1992 *"
ASPIDISTRIN,Fungicide,MIC 2.5-10 ug/ml,"Duke, 1992 *"
ASPIDOSPERMINE,Adrenolytic,not available,"Duke, 1992 *"
ASPIDOSPERMINE,Antiadrenergic,not available,"Duke, 1992 *"
ASPIDOSPERMINE,Antiseptic,not available,"Grenand, P., Moretti, C., and Jacquemin, H. 1987. Pharmacopees Traditionnelles en Guyane.  l'ORSTROM, Paris. 569 pp."
ASPIDOSPERMINE,Diuretic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ASPIDOSPERMINE,Pesticide,not available,"Duke, 1992 *"
ASPIDOSPERMINE,Respirastimulant,2-5 mg/dog,"Duke, 1992 *"
ASPIRIN,Analgesic,450 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN,Analgesic,100 mg/kg (orl mus),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN,Anticoagulant,10 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN,Anticoagulant,100 mg/kg (orl mus),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN,Antiinflammatory,452 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN,Antipyretic,100 mg/kg (orl mus),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN,Antipyretic,450 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN,Cardiovascular,75 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN,Convulsant,250 mg/kg (orl mus),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN,Cytotoxic,0.5-2 mg/ml,"Duke, 1992 *"
ASPIRIN,Hypothermic,not available,"Duke, 1992 *"
ASPIRIN,Ulcerogenic,200 mg/kg gav rat,"Duke, 1992 *"
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Analgesic,100 mg/kg (orl mus),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Analgesic,450 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Anticoagulant,10 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Anticoagulant,100 mg/kg (orl mus),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Antiinflammatory,452 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Antipyretic,100 mg/kg (orl mus),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Antipyretic,450 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Cardiovascular,75 mg/kg (orl rat),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Convulsant,250 mg/kg (orl mus),"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Cytotoxic,0.5-2 mg/ml,"Duke, 1992 *"
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Hypothermic,not available,"Duke, 1992 *"
ASPIRIN (ACETYLSALICYLIC-ACID; NOT NATURAL),Ulcerogenic,200 mg/kg gav rat,"Duke, 1992 *"
ASTERISCUNOLIDE,Hypoglycemic,IC50=10 mg/kg,"Duke, 1992 *"
ASTILBIN,Aldose-Reductase-Inhibitor,60 uM pig,"Haraguchi, H., Ohmi, I., Masuda, H., Tamura, Y., Mizutani, K., Tanaka, O., Chou, W. H. 1996. Inhibition of Aldose Reductase by Dihydroflavonols in Engelhardtia chrysolepis and Effects on Other Enzymes. Experientia, 52(6): 564-567."
ASTRACICERAN,Fungicide,EC50=<50,"Duke, 1992 *"
ASTRACICERAN,Pesticide,not available,"Duke, 1992 *"
ASTRACICERAN,Phytoalexin,not available,"Duke, 1992 *"
ASTRAGALAN-I,Immunostimulant,not available,"Duke, 1992 *"
ASTRAGALAN-II,Immunostimulant,not available,"Duke, 1992 *"
ASTRAGALAN-III,Immunostimulant,not available,"Duke, 1992 *"
ASTRAGALIN,ACE-Inhibitor,ID50=180 ug/ml rat (24 hr.),"Duke, 1992 *"
ASTRAGALIN,Aldose-Reductase-Inhibitor,IC30=1 uM,"Duke, 1992 *"
ASTRAGALIN,Aldose-Reductase-Inhibitor,IC62=10 uM,"Shimizu, M., Ito, T., Terashima, S., Hayashi, T., Arisawa, M., Morita, N., Kurokawa, S., Ito, K., and Hashimoto, Y. 1984. Inhibition of Lens Aldose Reductase by Flavonoids. Phytochemistry, 23: 1885-1888."
ASTRAGALIN,Antileukemic,not available,"Duke, 1992 *"
ASTRAGALIN,Expectorant,not available,"Duke, 1992 *"
ASTRAGALIN,Hypotensive,not available,"Uchida, U., Ohta, H., Niwa, M., Mori, A., Nonaka, G-i., Nishioka, I., and Zaki, M. 1989. Prolongation of Life Span of Stroke-Prone Spontaneously Hypertensive Rats (SHRSP) Ingesting Persimmon Tannin. Chem. Pharm. Bull. 38(4): 1049-1052, 1990."
ASTRAGALIN,Immunostimulant,not available,"Duke, 1992 *"
ASTRAGALIN-2''-GALLATE,Xanthine-Oxidase-Inhibitor,50 uM,"Duke, 1992 *"
ASTRAGALIN-6''-GALLATE,Xanthine-Oxidase-Inhibitor,50 uM,"Duke, 1992 *"
ASTRAMEMBRANIN-I,Antiinflammatory,not available,"Duke, 1992 *"
ASTRAMEMBRANIN-I,cAMP-genic,not available,"Duke, 1992 *"
ASTRAMEMBRANIN-I,Hypotensive,not available,"Duke, 1992 *"
ASTRASIERVERSIANIN-XVI,Antihypertensive,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ASTRINGENIN,Antiedemic,not available,"Duke, 1992 *"
ASTRINGENIN,Antiinflammatory,IC50=45 uM,"Duke, 1992 *"
ASTRINGENIN,Antiprostaglandin,IC50=45 uM,"Duke, 1992 *"
ASTRINGIN,Fungicide,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ASTRINGIN,Pesticide,not available,"Duke, 1992 *"
ATALAPHILLIDINE,Antiherpetic,IC50=<1 ug/ml,"Duke, 1992 *"
ATALAPHILLIDINE,Antiviral,IC50=<1 ug/ml,"Duke, 1992 *"
ATALAPHILLIDINE,Cytotoxic,not available,"Duke, 1992 *"
ATALAPHILLIDINE,Pesticide,not available,"Duke, 1992 *"
ATALAPHILLININE,Antiherpetic,IC50=<1 ug/ml,"Duke, 1992 *"
ATALAPHILLININE,Antimalarial,50 mg/kg/day ipr mus,"Duke, 1992 *"
ATALAPHILLININE,Antiviral,IC50=<1 ug/ml,"Duke, 1992 *"
ATALAPHILLININE,Cytotoxic,not available,"Duke, 1992 *"
ATALAPHILLININE,Pesticide,not available,"Duke, 1992 *"
ATALAPHILLININE,Protisticide,not available,"Duke, 1992 *"
